age,M Spline,S Spline,Lspline
3,-0.1363555,0.26866539,0
3.25,-0.130340375,0.247291282,0
3.5,-0.124785631,0.227528531,0
3.75,-0.119643489,0.20917695,0
4,-0.114895727,0.192097646,0
4.25,-0.110526126,0.17617495,0
4.5,-0.106513199,0.161313729,0
4.75,-0.102829502,0.147444278,0
5,-0.099449108,0.134502704,0
5.25,-0.096345693,0.122430067,0
5.5,-0.093472868,0.111182404,0
5.75,-0.0907817,0.100721949,0
6,-0.088232796,0.091010919,0
6.25,-0.085793991,0.082012215,0
6.5,-0.083434478,0.073690041,0
6.75,-0.081126101,0.066010098,0
7,-0.078846087,0.05893963,0
7.25,-0.076576069,0.052447494,0
7.5,-0.074300659,0.04650368,0
7.75,-0.072000631,0.041073944,0
8,-0.069656094,0.036122984,0
8.25,-0.067250948,0.031618633,0
8.5,-0.064772293,0.027531571,0
8.75,-0.062209869,0.023835014,0
9,-0.059555991,0.020503561,0
9.25,-0.056809052,0.017504253,0
9.5,-0.053970895,0.014801576,0
9.75,-0.051043609,0.012363893,0
10,-0.048029429,0.010163041,0
10.25,-0.044930688,0.008173904,0
10.5,-0.041749781,0.006374035,0
10.75,-0.038489347,0.004743263,0
11,-0.035157502,0.003261599,0
11.25,-0.031767429,0.001909129,0
11.5,-0.028331151,0.000667958,0
11.75,-0.024859376,-0.000477921,0
12,-0.021361643,-0.001542841,0
12.25,-0.017846457,-0.00253965,0
12.5,-0.014321405,-0.003479867,0
12.75,-0.010793251,-0.004373833,0
13,-0.007268505,-0.00523079,0
13.25,-0.003756437,-0.006058712,0
13.5,-0.000266838,-0.006864622,0
13.75,0.003191571,-0.007654838,0
14,0.00661104,-0.008435044,0
14.25,0.009984681,-0.009210354,0
14.5,0.013306389,-0.009985369,0
14.75,0.016570757,-0.010764225,0
15,0.019773006,-0.011550642,0
15.25,0.022908924,-0.01234796,0
15.5,0.025974817,-0.013159162,0
15.75,0.02896791,-0.013986062,0
16,0.031886451,-0.014829047,0
16.25,0.034729011,-0.015688345,0
16.5,0.037494406,-0.016564132,0
16.75,0.040181666,-0.017456541,0
17,0.042790016,-0.018365664,0
17.25,0.045318858,-0.019291558,0
17.5,0.047767752,-0.020234248,0
17.75,0.0501364,-0.02119373,0
18,0.05242463,-0.022169975,0
18.25,0.054632386,-0.023162931,0
18.5,0.056759717,-0.024172528,0
18.75,0.058806964,-0.025198482,0
19,0.060776064,-0.026239075,0
19.25,0.062669582,-0.02729205,0
19.5,0.064489976,-0.028355303,0
19.75,0.066239598,-0.029426871,0
20,0.067920702,-0.030504927,0
20.25,0.069535447,-0.031587769,0
20.5,0.071085903,-0.03267381,0
20.75,0.072574055,-0.033761571,0
21,0.074001808,-0.034849674,0
21.25,0.075370992,-0.035936835,0
21.5,0.076683362,-0.037021857,0
21.75,0.077940607,-0.038103626,0
22,0.07914435,-0.039181104,0
22.25,0.080296151,-0.040253324,0
22.5,0.081397515,-0.041319333,0
22.75,0.082449915,-0.042377635,0
23,0.083454792,-0.043426446,0
23.25,0.084413528,-0.044464093,0
23.5,0.085327456,-0.04548902,0
23.75,0.08619786,-0.046499773,0
24,0.087025974,-0.047495,0
24.25,0.087812991,-0.048473443,0
24.5,0.08856006,-0.049433929,0
24.75,0.089268287,-0.050375369,0
25,0.089938741,-0.051296751,0
25.25,0.090572454,-0.052197135,0
25.5,0.09117042,-0.053075649,0
25.75,0.091733602,-0.053931487,0
26,0.092262928,-0.0547639,0
26.25,0.092759294,-0.055572198,0
26.5,0.093223569,-0.056355743,0
26.75,0.093656591,-0.057113947,0
27,0.094059159,-0.057846269,0
27.25,0.094431748,-0.058552184,0
27.5,0.094774488,-0.059231177,0
27.75,0.095087501,-0.059882776,0
28,0.095370919,-0.060506549,0
28.25,0.095624883,-0.0611021,0
28.5,0.095849543,-0.061669069,0
28.75,0.096045056,-0.062207131,0
29,0.096211588,-0.062715991,0
29.25,0.096349308,-0.063195385,0
29.5,0.096458395,-0.063645074,0
29.75,0.09653903,-0.06406485,0
30,0.0965914,-0.064454526,0
30.25,0.096615698,-0.064813939,0
30.5,0.096612118,-0.065142951,0
30.75,0.096580859,-0.065441441,0
31,0.096522124,-0.065709309,0
31.25,0.096436118,-0.065946474,0
31.5,0.096323047,-0.066152873,0
31.75,0.096183123,-0.066328456,0
32,0.096016555,-0.066473193,0
32.25,0.095823558,-0.066587065,0
32.5,0.09560434,-0.066670075,0
32.75,0.095358993,-0.066722374,0
33,0.095087507,-0.066744244,0
33.25,0.094789882,-0.066735971,0
33.5,0.094466124,-0.066697839,0
33.75,0.094116253,-0.066630132,0
34,0.093740296,-0.066533134,0
34.25,0.09333829,-0.066407124,0
34.5,0.092910278,-0.066252384,0
34.75,0.092456314,-0.066069192,0
35,0.091976457,-0.065857825,0
35.25,0.091470772,-0.065618558,0
35.5,0.090939334,-0.065351665,0
35.75,0.09038222,-0.065057419,0
36,0.089799516,-0.064736088,0
36.25,0.089191311,-0.064387941,0
36.5,0.0885577,-0.064013245,0
36.75,0.087898782,-0.063612263,0
37,0.087214661,-0.063185257,0
37.25,0.086505445,-0.062732488,0
37.5,0.085771246,-0.062254213,0
37.75,0.085012178,-0.061750689,0
38,0.084228359,-0.061222168,0
38.25,0.083419913,-0.060668902,0
38.5,0.082586962,-0.060091139,0
38.75,0.081729634,-0.059489128,0
39,0.080848058,-0.058863112,0
39.25,0.079942413,-0.058213429,0
39.5,0.079013007,-0.05754066,0
39.75,0.078060162,-0.056845411,0
40,0.077084193,-0.056128272,0
40.25,0.076085413,-0.055389816,0
40.5,0.075064129,-0.054630604,0
40.75,0.074020641,-0.053851178,0
41,0.072955247,-0.053052068,0
41.25,0.071868237,-0.052233791,0
41.5,0.0707599,-0.05139685,0
41.75,0.069630518,-0.050541732,0
42,0.068480368,-0.049668916,0
42.25,0.067309723,-0.048778866,0
42.5,0.066118854,-0.047872033,0
42.75,0.064908025,-0.04694886,0
43,0.063677496,-0.046009776,0
43.25,0.062427524,-0.0450552,0
43.5,0.061158361,-0.04408554,0
43.75,0.059870257,-0.043101194,0
44,0.058563454,-0.042102551,0
44.25,0.057238196,-0.041089988,0
44.5,0.055894717,-0.040063875,0
44.75,0.054533253,-0.039024572,0
45,0.053154032,-0.037972429,0
45.25,0.051757281,-0.036907788,0
45.5,0.050343224,-0.035830985,0
45.75,0.048912078,-0.034742344,0
46,0.047464061,-0.033642183,0
