age,M Spline,S Spline,Lspline
3,-0.061331402,0.080526237,0
3.25,-0.0586948,0.077631527,0
3.5,-0.05629471,0.074930735,0
3.75,-0.054136353,0.072381303,0
4,-0.052238231,0.069945704,0
4.25,-0.050617499,0.067589726,0
4.5,-0.049282672,0.065283288,0
4.75,-0.048219205,0.063005418,0
5,-0.047377481,0.060745687,0
5.25,-0.046688189,0.058496974,0
5.5,-0.04607661,0.05625979,0
5.75,-0.045465508,0.054039438,0
6,-0.044784354,0.051845823,0
6.25,-0.043971271,0.049692078,0
6.5,-0.042985884,0.047589678,0
6.75,-0.041814784,0.045544128,0
7,-0.040463834,0.043555518,0
7.25,-0.038949462,0.041618684,0
7.5,-0.037295078,0.039726691,0
7.75,-0.035524481,0.037872312,0
8,-0.03366171,0.03604702,0
8.25,-0.031724711,0.034243441,0
8.5,-0.029729011,0.032456688,0
8.75,-0.027687148,0.030682778,0
9,-0.025586344,0.028926881,0
9.25,-0.023406558,0.02719917,0
9.5,-0.02113614,0.025508116,0
9.75,-0.018767629,0.023860817,0
10,-0.01629574,0.022262836,0
10.25,-0.013722736,0.020716771,0
10.5,-0.011059755,0.019223017,0
10.75,-0.008322245,0.017780285,0
11,-0.005527463,0.016386321,0
11.25,-0.002695117,0.015039025,0
11.5,0.000152507,0.013735544,0
11.75,0.002993425,0.012473357,0
12,0.00580655,0.011249676,0
12.25,0.008571826,0.010061673,0
12.5,0.01126992,0.008906173,0
12.75,0.013883133,0.00778063,0
13,0.016396842,0.00668324,0
13.25,0.018799062,0.005612291,0
13.5,0.021079955,0.004566151,0
13.75,0.023232615,0.003543593,0
14,0.025252761,0.00254365,0
14.25,0.027138565,0.001565448,0
14.5,0.028889452,0.000607958,0
14.75,0.030506261,-0.000329721,0
15,0.031991009,-0.00124848,0
15.25,0.033346812,-0.002149073,0
15.5,0.034577516,-0.003032036,0
15.75,0.035687564,-0.003897727,0
16,0.036681939,-0.004746278,0
16.25,0.037566018,-0.005577625,0
16.5,0.038345273,-0.006391723,0
16.75,0.039025155,-0.007188664,0
17,0.039611046,-0.007968582,0
17.25,0.040108339,-0.008731663,0
17.5,0.040522416,-0.0094781,0
17.75,0.040858451,-0.010208079,0
18,0.041121214,-0.010921835,0
18.25,0.041315187,-0.011619668,0
18.5,0.041444392,-0.012302024,0
18.75,0.041512563,-0.012969396,0
19,0.041523375,-0.013622212,0
19.25,0.041480594,-0.014260787,0
19.5,0.041388018,-0.014885384,0
19.75,0.041249279,-0.015496245,0
20,0.041067832,-0.016093567,0
20.25,0.040846973,-0.016677547,0
20.5,0.040589982,-0.017248381,0
20.75,0.04029999,-0.017806264,0
21,0.039979943,-0.018351395,0
21.25,0.039632607,-0.018883953,0
21.5,0.039260496,-0.019404038,0
21.75,0.038866043,-0.019911739,0
22,0.038451661,-0.020407135,0
22.25,0.038019647,-0.020890282,0
22.5,0.03757198,-0.021361156,0
22.75,0.037110507,-0.021819688,0
23,0.036636994,-0.022265797,0
23.25,0.036153054,-0.022699429,0
23.5,0.035659967,-0.023120605,0
23.75,0.035158884,-0.023529361,0
24,0.034650922,-0.023925738,0
24.25,0.034137106,-0.024309772,0
24.5,0.033618194,-0.02468147,0
24.75,0.033094916,-0.025040809,0
25,0.032567993,-0.025387753,0
25.25,0.032038124,-0.025722253,0
25.5,0.03150591,-0.026044201,0
25.75,0.03097194,-0.026353481,0
26,0.030436775,-0.026649986,0
26.25,0.029900922,-0.026933591,0
26.5,0.029364778,-0.027204135,0
26.75,0.028828721,-0.027461456,0
27,0.028293127,-0.02770541,0
27.25,0.02775831,-0.027935854,0
27.5,0.027224383,-0.02815258,0
27.75,0.026691425,-0.028355363,0
28,0.026159498,-0.028543983,0
28.25,0.025628669,-0.028718229,0
28.5,0.025098954,-0.028877899,0
28.75,0.024570364,-0.029022808,0
29,0.024042924,-0.02915278,0
29.25,0.023516679,-0.029267656,0
29.5,0.022991634,-0.029367323,0
29.75,0.022467786,-0.0294517,0
30,0.021945143,-0.029520715,0
30.25,0.021423732,-0.029574291,0
30.5,0.020903543,-0.029612323,0
30.75,0.020384574,-0.029634695,0
31,0.019866836,-0.029641288,0
31.25,0.019350344,-0.029631988,0
31.5,0.018835079,-0.029606697,0
31.75,0.01832102,-0.02956533,0
32,0.017808159,-0.029507811,0
32.25,0.017296508,-0.029434052,0
32.5,0.016786103,-0.029343937,0
32.75,0.016276995,-0.029237351,0
33,0.015769248,-0.029114184,0
33.25,0.015262907,-0.028974329,0
33.5,0.014757941,-0.02881769,0
33.75,0.01425432,-0.028644174,0
34,0.01375205,-0.028453694,0
34.25,0.013251166,-0.028246166,0
34.5,0.012751779,-0.028021478,0
34.75,0.012254028,-0.027779521,0
35,0.01175805,-0.027520198,0
35.25,0.01126399,-0.027243418,0
35.5,0.010772024,-0.026949102,0
35.75,0.010282322,-0.026637179,0
36,0.009795055,-0.026307581,0
36.25,0.009310404,-0.025960248,0
36.5,0.008828527,-0.025595139,0
36.75,0.008349571,-0.025212224,0
37,0.007873685,-0.024811479,0
37.25,0.007401022,-0.024392889,0
37.5,0.006931769,-0.023956434,0
37.75,0.006466103,-0.023502104,0
38,0.006004177,-0.02302989,0
38.25,0.005546138,-0.022539783,0
38.5,0.005092181,-0.022031774,0
38.75,0.004642508,-0.021505862,0
39,0.004197303,-0.020962052,0
39.25,0.003756737,-0.020400368,0
39.5,0.003320988,-0.019820854,0
39.75,0.002890241,-0.019223559,0
40,0.002464665,-0.018608539,0
40.25,0.002044417,-0.017975858,0
40.5,0.001629632,-0.01732559,0
40.75,0.001220432,-0.016657815,0
41,0.000816928,-0.015972615,0
41.25,0.00041921,-0.015270087,0
41.5,2.73E-05,-0.014550367,0
41.75,-0.000358627,-0.013813603,0
42,-0.000738675,-0.013059946,0
42.25,-0.001112787,-0.012289555,0
42.5,-0.001480951,-0.011502605,0
42.75,-0.001843151,-0.010699277,0
43,-0.002199378,-0.009879752,0
43.25,-0.002549641,-0.009044224,0
43.5,-0.002893988,-0.008192897,0
43.75,-0.003232475,-0.00732597,0
44,-0.00356516,-0.006443637,0
44.25,-0.0038921,-0.005546084,0
44.5,-0.004213344,-0.004633501,0
44.75,-0.004528952,-0.003706078,0
45,-0.004838988,-0.002764011,0
45.25,-0.005143522,-0.001807502,0
45.5,-0.005442638,-0.000836784,0
45.75,-0.00573643,0.000147902,0
46,-0.006024997,0.00114632,0
46.25,-0.006308443,0.002158235,0
46.5,-0.006586866,0.003183381,0
46.75,-0.006860371,0.004221496,0
47,-0.007129056,0.005272321,0
47.25,-0.007393018,0.006335607,0
47.5,-0.00765236,0.007411112,0
47.75,-0.007907195,0.008498597,0
48,-0.008157648,0.009597827,0
48.25,-0.008403846,0.010708564,0
48.5,-0.008645925,0.011830572,0
48.75,-0.00888402,0.012963615,0
49,-0.00911827,0.014107461,0
49.25,-0.009348818,0.015261871,0
49.5,-0.00957581,0.016426599,0
49.75,-0.009799396,0.017601398,0
50,-0.010019727,0.018786028,0
50.25,-0.010236954,0.019980255,0
50.5,-0.010451222,0.021183826,0
50.75,-0.010662676,0.022396491,0
51,-0.01087146,0.023618005,0
51.25,-0.011077715,0.024848125,0
51.5,-0.011281555,0.026086606,0
51.75,-0.011483091,0.02733321,0
52,-0.011682432,0.028587701,0
52.25,-0.01187968,0.029849846,0
52.5,-0.012074924,0.03111941,0
52.75,-0.012268251,0.032396162,0
53,-0.012459748,0.033679874,0
53.25,-0.012649491,0.034970326,0
53.5,-0.012837537,0.036267301,0
53.75,-0.01302394,0.037570585,0
54,-0.013208761,0.038879969,0
54.25,-0.013392062,0.040195248,0
54.5,-0.013573893,0.041516215,0
54.75,-0.013754304,0.042842662,0
55,-0.01393335,0.044174387,0
55.25,-0.014111084,0.045511192,0
55.5,-0.014287556,0.046852881,0
55.75,-0.014462815,0.048199257,0
56,-0.014636918,0.04955013,0
56.25,-0.014809924,0.050905309,0
56.5,-0.014981895,0.052264604,0
56.75,-0.015152899,0.053627827,0
57,-0.01532301,0.054994794,0
57.25,-0.015492302,0.056365323,0
57.5,-0.015660839,0.057739236,0
57.75,-0.015828683,0.059116358,0
58,-0.015995898,0.060496516,0
58.25,-0.016162545,0.061879537,0
58.5,-0.016328682,0.06326524,0
58.75,-0.016494366,0.064653451,0
59,-0.016659657,0.066043998,0
59.25,-0.01682462,0.067436715,0
59.5,-0.01698932,0.068831428,0
59.75,-0.017153831,0.070227968,0
60,-0.01731823,0.071626168,0
60.25,-0.017482588,0.073025865,0
60.5,-0.017646951,0.074426892,0
60.75,-0.01781136,0.075829089,0
61,-0.017975858,0.077232297,0
61.25,-0.018140484,0.078636368,0
61.5,-0.018305268,0.080041161,0
61.75,-0.018470239,0.081446545,0
62,-0.018635432,0.082852388,0
62.25,-0.018800877,0.084258563,0
62.5,-0.018966578,0.085664945,0
62.75,-0.019132535,0.087071413,0
63,-0.019298747,0.088477845,0
63.25,-0.019465208,0.089884128,0
63.5,-0.019631899,0.091290157,0
63.75,-0.019798795,0.09269583,0
64,-0.019965877,0.09410105,0
64.25,-0.020133126,0.095505717,0
64.5,-0.020300525,0.096909732,0
64.75,-0.02046806,0.098312995,0
65,-0.020635719,0.099715411,0
65.25,-0.02080349,0.101116884,0
65.5,-0.020971356,0.102517317,0
65.75,-0.021139302,0.103916611,0
66,-0.021307311,0.105314674,0
66.25,-0.021475369,0.106711416,0
66.5,-0.021643451,0.108106747,0
66.75,-0.021811533,0.109500577,0
67,-0.021979595,0.110892819,0
67.25,-0.022147612,0.112283384,0
67.5,-0.022315553,0.113672192,0
67.75,-0.022483386,0.115059161,0
68,-0.022651077,0.116444212,0
68.25,-0.022818598,0.117827268,0
68.5,-0.022985915,0.119208245,0
68.75,-0.023153002,0.120587065,0
69,-0.023319829,0.121963649,0
69.25,-0.023486374,0.12333792,0
69.5,-0.023652621,0.1247098,0
69.75,-0.023818555,0.126079215,0
70,-0.023984162,0.127446089,0
70.25,-0.024149428,0.128810351,0
70.5,-0.024314338,0.130171928,0
70.75,-0.024478877,0.131530751,0
71,-0.024643034,0.132886752,0
71.25,-0.024806795,0.134239865,0
71.5,-0.024970152,0.135590027,0
71.75,-0.025133096,0.136937182,0
72,-0.025295621,0.138281271,0
72.25,-0.02545772,0.139622242,0
72.5,-0.025619382,0.140960047,0
72.75,-0.025780598,0.142294642,0
73,-0.025941356,0.143625983,0
73.25,-0.026101648,0.14495403,0
73.5,-0.026261463,0.146278747,0
73.75,-0.026420794,0.147600102,0
74,-0.026579634,0.148918067,0
74.25,-0.026737975,0.150232614,0
74.5,-0.026895807,0.151543718,0
74.75,-0.027053119,0.152851361,0
75,-0.027209901,0.154155521,0
75.25,-0.027366145,0.15545618,0
75.5,-0.027521847,0.156753321,0
75.75,-0.027677003,0.158046926,0
76,-0.02783161,0.159336978,0
76.25,-0.027985665,0.160623465,0
76.5,-0.028139166,0.161906378,0
76.75,-0.028292108,0.163185714,0
77,-0.028444489,0.164461469,0
77.25,-0.028596309,0.165733639,0
77.5,-0.02874757,0.167002219,0
77.75,-0.028898276,0.168267206,0
78,-0.02904843,0.169528598,0
78.25,-0.029198036,0.17078639,0
78.5,-0.029347098,0.172040582,0
78.75,-0.029495622,0.173291176,0
79,-0.029643611,0.174538172,0
79.25,-0.029791072,0.17578157,0
79.5,-0.02993801,0.177021374,0
79.75,-0.030084434,0.178257586,0
80,-0.030230349,0.179490209,0
80.25,-0.030375763,0.180719247,0
80.5,-0.030520683,0.181944707,0
80.75,-0.030665117,0.183166598,0
81,-0.030809071,0.184384927,0
81.25,-0.030952553,0.185599703,0
81.5,-0.031095568,0.186810938,0
81.75,-0.031238121,0.188018641,0
82,-0.031380217,0.189222825,0
82.25,-0.03152186,0.190423499,0
82.5,-0.031663056,0.191620676,0
82.75,-0.031803809,0.19281437,0
83,-0.031944124,0.194004593,0
83.25,-0.032084005,0.195191357,0
83.5,-0.032223458,0.196374678,0
83.75,-0.032362486,0.197554569,0
84,-0.032501094,0.198731045,0
84.25,-0.032639284,0.199904121,0
84.5,-0.032777061,0.20107381,0
84.75,-0.03291443,0.202240127,0
85,-0.033051396,0.203403085,0
85.25,-0.033187962,0.2045627,0
85.5,-0.033324132,0.205718986,0
85.75,-0.033459907,0.20687196,0
86,-0.033595289,0.208021636,0
86.25,-0.033730282,0.209168031,0
86.5,-0.033864887,0.210311159,0
86.75,-0.033999107,0.211451037,0
87,-0.034132946,0.21258768,0
87.25,-0.034266406,0.213721103,0
87.5,-0.03439949,0.214851322,0
87.75,-0.034532202,0.215978351,0
88,-0.034664545,0.217102204,0
