age,M Spline,S Spline,Lspline
3,-0.209550778,0.313300389,0
3.25,-0.200666434,0.288280448,0
3.5,-0.19246748,0.265145552,0
3.75,-0.184888212,0.243660411,0
4,-0.177913213,0.223661208,0
4.25,-0.171527454,0.205011666,0
4.5,-0.165697533,0.187599579,0
4.75,-0.160365599,0.171342117,0
5,-0.155478634,0.156163622,0
5.25,-0.150984713,0.141994266,0
5.5,-0.146786643,0.128779429,0
5.75,-0.142781891,0.116471401,0
6,-0.138890127,0.105023469,0
6.25,-0.13504849,0.094390462,0
6.5,-0.131208076,0.084528851,0
6.75,-0.127330865,0.075397095,0
7,-0.123387223,0.066955942,0
7.25,-0.119354182,0.059168418,0
7.5,-0.115213076,0.051999337,0
7.75,-0.110937746,0.045410721,0
8,-0.106500168,0.039364403,0
8.25,-0.101878325,0.033825477,0
8.5,-0.097055246,0.028762004,0
8.75,-0.092018086,0.024144699,0
9,-0.0867585,0.019945763,0
9.25,-0.081283162,0.016129752,0
9.5,-0.075606601,0.012658692,0
9.75,-0.06974235,0.009498632,0
10,-0.063702899,0.006619247,0
10.25,-0.057499801,0.003993386,0
10.5,-0.05114375,0.001596692,0
10.75,-0.044645293,-0.000592797,0
11,-0.038030844,-0.002596684,0
11.25,-0.031341549,-0.004436324,0
11.5,-0.024614507,-0.00613098,0
11.75,-0.017882376,-0.00769796,0
12,-0.011173899,-0.009152836,0
12.25,-0.004514363,-0.010509632,0
12.5,0.002074002,-0.011780991,0
12.75,0.008571669,-0.012978324,0
13,0.014961115,-0.014111829,0
13.25,0.021224088,-0.015189926,0
13.5,0.027343303,-0.016219896,0
13.75,0.033303622,-0.017208344,0
14,0.039091821,-0.018161267,0
14.25,0.044696388,-0.019084116,0
14.5,0.050107341,-0.019981846,0
14.75,0.055316062,-0.020858964,0
15,0.060315153,-0.02171957,0
15.25,0.065098312,-0.022567395,0
15.5,0.069660283,-0.023405825,0
15.75,0.074000208,-0.024237441,0
16,0.078122708,-0.025063881,0
16.25,0.082032722,-0.025886584,0
16.5,0.085735078,-0.026706864,0
16.75,0.089234496,-0.02752592,0
17,0.092535584,-0.028344845,0
17.25,0.09564284,-0.029164636,0
17.5,0.098560654,-0.029986204,0
17.75,0.101293308,-0.030810378,0
18,0.103844979,-0.031637911,0
18.25,0.106219737,-0.032469492,0
18.5,0.108421553,-0.033305744,0
18.75,0.11045482,-0.034147093,0
19,0.112327738,-0.034992853,0
19.25,0.114049843,-0.035841901,0
19.5,0.115630128,-0.036693191,0
