age,M Spline,S Spline,L Spline
5,0.048100916,0.323502297,0
5.25,0.048305356,0.320438232,0
5.5,0.048509549,0.317373934,0
5.75,0.048713264,0.314309189,0
6,0.048916273,0.31124378,0
6.25,0.049118416,0.308177565,0
6.5,0.049319683,0.305110549,0
6.75,0.049519974,0.302042651,0
7,0.049719193,0.298973789,0
7.25,0.049917242,0.295903881,0
7.5,0.050114021,0.292832844,0
7.75,0.050309431,0.289760594,0
8,0.050503374,0.28668705,0
8.25,0.05069575,0.283612129,0
8.5,0.050886465,0.280535744,0
8.75,0.051075385,0.277457837,0
9,0.051262262,0.274378421,0
9.25,0.051446822,0.271297527,0
9.5,0.051628782,0.268215194,0
9.75,0.051807861,0.265131457,0
10,0.05198378,0.262046352,0
10.25,0.052156256,0.258959913,0
10.5,0.052325011,0.255872177,0
10.75,0.052489763,0.252783179,0
11,0.052650233,0.249692955,0
11.25,0.052806139,0.246601541,0
11.5,0.052957202,0.243508971,0
11.75,0.05310314,0.240415281,0
12,0.053243674,0.237320508,0
12.25,0.053378523,0.234224686,0
12.5,0.053507407,0.231127852,0
12.75,0.053630044,0.22803004,0
13,0.053746152,0.224931292,0
13.25,0.053855336,0.221831845,0
13.5,0.053957067,0.218732173,0
13.75,0.054050805,0.215632765,0
14,0.054136015,0.212534109,0
14.25,0.054212157,0.209436693,0
14.5,0.054278694,0.206341008,0
14.75,0.054335089,0.203247541,0
15,0.054380804,0.20015678,0
15.25,0.0544153,0.197069216,0
15.5,0.05443804,0.193985336,0
15.75,0.054448486,0.190905628,0
16,0.054446101,0.187830583,0
16.25,0.054430347,0.184760687,0
16.5,0.054400685,0.181696431,0
16.75,0.054356578,0.178638302,0
17,0.05429749,0.17558679,0
17.25,0.054222838,0.172542357,0
17.5,0.054132182,0.16950555,0
17.75,0.054025129,0.166476952,0
18,0.053901289,0.163457141,0
18.25,0.053760288,0.16044671,0
18.5,0.053601798,0.15744628,0
18.75,0.053425469,0.154456456,0
19,0.053230947,0.151477843,0
19.25,0.053017873,0.148511049,0
19.5,0.052785897,0.14555668,0
19.75,0.052534686,0.142615334,0
20,0.052263906,0.139687608,0
20.25,0.051973212,0.136774106,0
20.5,0.051662209,0.13387545,0
20.75,0.051330491,0.130992265,0
21,0.050977652,0.128125177,0
21.25,0.050603333,0.125274794,0
21.5,0.050207361,0.122441654,0
21.75,0.049789612,0.119626276,0
22,0.04934996,0.116829179,0
22.25,0.048888381,0.114050845,0
22.5,0.048405245,0.111291605,0
22.75,0.047901023,0.108551754,0
23,0.047376185,0.105831584,0
23.25,0.046831185,0.103131395,0
23.5,0.046266411,0.100451515,0
23.75,0.045682231,0.097792273,0
24,0.045079015,0.095154002,0
24.25,0.044457139,0.092537032,0
24.5,0.043816996,0.089941687,0
24.75,0.043158984,0.087368286,0
25,0.042483502,0.084817151,0
25.25,0.041790943,0.082288605,0
25.5,0.041081695,0.079782973,0
25.75,0.040356148,0.077300579,0
26,0.039614696,0.074841747,0
26.25,0.038857762,0.072406779,0
26.5,0.038086044,0.069995827,0
26.75,0.037300364,0.067608963,0
27,0.036501549,0.065246263,0
27.25,0.035690422,0.062907802,0
27.5,0.034867809,0.060593654,0
27.75,0.034034534,0.058303894,0
28,0.033191421,0.056038597,0
28.25,0.032339297,0.053797837,0
28.5,0.031478984,0.051581689,0
28.75,0.030611309,0.049390228,0
29,0.029737096,0.047223528,0
29.25,0.028857169,0.045081665,0
29.5,0.027972354,0.042964712,0
29.75,0.027083475,0.040872744,0
30,0.026191357,0.038805837,0
30.25,0.025296823,0.036764064,0
30.5,0.024400702,0.034747502,0
30.75,0.023503904,0.032756272,0
31,0.022607519,0.030790595,0
31.25,0.02171266,0.028850704,0
31.5,0.020820439,0.02693683,0
31.75,0.019931968,0.025049207,0
32,0.019048358,0.023188066,0
32.25,0.018170723,0.021353639,0
32.5,0.017300172,0.01954616,0
32.75,0.01643782,0.01776586,0
33,0.015584776,0.016012972,0
33.25,0.014742155,0.014287727,0
33.5,0.013911067,0.012590359,0
33.75,0.013092625,0.0109211,0
34,0.01228794,0.009280182,0
34.25,0.011498124,0.007667836,0
34.5,0.010724289,0.006084297,0
34.75,0.009967554,0.004529795,0
35,0.009229008,0.003004564,0
35.25,0.008509693,0.001508842,0
35.5,0.007810585,4.29E-05,0
35.75,0.007132665,-0.001393113,0
36,0.006476913,-0.002798863,0
36.25,0.00584431,-0.00417414,0
36.5,0.005235836,-0.005518703,0
36.75,0.00465247,-0.006832311,0
37,0.004095194,-0.008114722,0
37.25,0.003564988,-0.009365696,0
37.5,0.003062831,-0.010584991,0
37.75,0.002589705,-0.011772366,0
38,0.00214659,-0.012927581,0
38.25,0.001734465,-0.014050393,0
38.5,0.001354311,-0.015140563,0
38.75,0.001007108,-0.016197848,0
39,0.000693838,-0.017222008,0
39.25,0.000415479,-0.018212802,0
39.5,0.000172702,-0.019170335,0
39.75,-3.46E-05,-0.020095636,0
40,-0.000206851,-0.020989888,0
40.25,-0.000344207,-0.021854272,0
40.5,-0.000447003,-0.022689971,0
40.75,-0.000515527,-0.023498167,0
41,-0.00055007,-0.024280041,0
41.25,-0.000550922,-0.025036776,0
41.5,-0.000518371,-0.025769554,0
41.75,-0.000452708,-0.026479557,0
42,-0.000354223,-0.027167968,0
42.25,-0.000223204,-0.027835967,0
42.5,-5.99E-05,-0.028484738,0
42.75,0.000135274,-0.029115462,0
43,0.000362154,-0.029729321,0
43.25,0.000620408,-0.030327498,0
43.5,0.000909747,-0.030911175,0
43.75,0.001229837,-0.031481522,0
44,0.001579652,-0.03203954,0
44.25,0.001957616,-0.032586091,0
44.5,0.002362137,-0.033122035,0
44.75,0.002791625,-0.03364823,0
45,0.003244489,-0.034165536,0
45.25,0.003719138,-0.034674813,0
45.5,0.004213979,-0.035176919,0
45.75,0.004727423,-0.035672715,0
46,0.005257878,-0.036163058,0
46.25,0.005803754,-0.036648809,0
46.5,0.006363458,-0.037130827,0
46.75,0.0069354,-0.03760997,0
47,0.007517988,-0.038087099,0
47.25,0.008109633,-0.038563073,0
47.5,0.008708741,-0.03903875,0
47.75,0.009313724,-0.039514991,0
48,0.009922988,-0.039992653,0
48.25,0.010534956,-0.040472223,0
48.5,0.011148093,-0.040952853,0
48.75,0.011760873,-0.041433404,0
49,0.012371772,-0.041912733,0
49.25,0.012979264,-0.042389701,0
49.5,0.013581824,-0.042863167,0
49.75,0.014177927,-0.043331989,0
50,0.014766048,-0.043795027,0
50.25,0.015344661,-0.044251141,0
