age,M Spline,S Spline,L Spline
3,-0.034939538,0.01755124,0
3.25,-0.033925617,0.0221529,0
3.5,-0.033064707,0.026377944,0
3.75,-0.032374779,0.030225016,0
4,-0.031865347,0.033665118,0
4.25,-0.03153899,0.03665079,0
4.5,-0.031379908,0.039135686,0
4.75,-0.031372024,0.041108046,0
5,-0.031492321,0.042596322,0
5.25,-0.031687496,0.043662055,0
5.5,-0.031892379,0.044381505,0
5.75,-0.032050965,0.044814446,0
6,-0.032117366,0.04501273,0
6.25,-0.032066548,0.04502296,0
6.5,-0.031893944,0.044882986,0
6.75,-0.031598629,0.044626511,0
7,-0.031175746,0.044271869,0
7.25,-0.03062899,0.043819595,0
7.5,-0.029974671,0.043257301,0
7.75,-0.029235174,0.042569823,0
8,-0.028435729,0.041741105,0
8.25,-0.027599974,0.040752118,0
8.5,-0.026746036,0.039582986,0
8.75,-0.025882223,0.038233467,0
9,-0.024978945,0.036751685,0
9.25,-0.023989789,0.03520758,0
9.5,-0.022875358,0.033668013,0
9.75,-0.021609078,0.032185617,0
10,-0.020173925,0.030798272,0
10.25,-0.01856,0.029531439,0
10.5,-0.016764709,0.028398948,0
10.75,-0.014790651,0.027407663,0
11,-0.012645459,0.026562318,0
11.25,-0.010342114,0.025863005,0
11.5,-0.007899562,0.025303362,0
11.75,-0.005341256,0.024874178,0
12,-0.00269177,0.024563815,0
12.25,2.39E-05,0.024359257,0
12.5,0.002779972,0.024243716,0
12.75,0.005550851,0.02419839,0
13,0.008311922,0.024204644,0
13.25,0.011040879,0.024245236,0
13.5,0.013717783,0.024304884,0
13.75,0.016325151,0.02437092,0
14,0.018847292,0.024432178,0
14.25,0.0212696,0.024476893,0
14.5,0.023579136,0.024493244,0
14.75,0.025765707,0.024471153,0
15,0.027821511,0.0244019,0
15.25,0.029740964,0.024278415,0
15.5,0.031520366,0.02409507,0
15.75,0.033158149,0.023847746,0
16,0.034654166,0.023533943,0
16.25,0.036009509,0.023152924,0
16.5,0.037227498,0.022705226,0
16.75,0.038312872,0.022191606,0
17,0.039270883,0.021612804,0
17.25,0.040106827,0.020969752,0
17.5,0.040826321,0.020263937,0
17.75,0.041435324,0.019497286,0
18,0.041939718,0.018671858,0
18.25,0.042345354,0.017789909,0
18.5,0.042658641,0.016854992,0
18.75,0.042886016,0.015870864,0
19,0.043033726,0.014840877,0
19.25,0.043107697,0.013768374,0
19.5,0.043113368,0.012657416,0
19.75,0.043055735,0.011512017,0
20,0.042939412,0.010335984,0
20.25,0.042768847,0.00913302,0
