age,M Spline,S Spline,Lspline
3,-0.119775594,0.184307362,0
3.25,-0.113955454,0.171160981,0
3.5,-0.108403308,0.158994969,0
3.75,-0.103089676,0.147679297,0
4,-0.098034902,0.137110566,0
4.25,-0.093400837,0.127211229,0
4.5,-0.089323742,0.117916644,0
4.75,-0.085870633,0.109172031,0
5,-0.08301778,0.100933825,0
5.25,-0.080725362,0.093163853,0
5.5,-0.078954147,0.085827647,0
5.75,-0.077625596,0.078894526,0
6,-0.076629683,0.072337153,0
6.25,-0.075875612,0.066130609,0
6.5,-0.075290208,0.060252124,0
6.75,-0.074832888,0.054680771,0
7,-0.074514202,0.049397165,0
7.25,-0.074347806,0.044383519,0
7.5,-0.074343502,0.039623524,0
7.75,-0.074508043,0.035102191,0
8,-0.074823324,0.030805517,0
8.25,-0.0751916,0.026719872,0
8.5,-0.07551283,0.022832583,0
8.75,-0.07570389,0.019132025,0
9,-0.075695829,0.015607502,0
9.25,-0.075431615,0.012249159,0
9.5,-0.074860414,0.009047749,0
9.75,-0.073916845,0.005993827,0
10,-0.072537805,0.003078378,0
10.25,-0.070671054,0.00029313,0
10.5,-0.068273636,-0.002369527,0
10.75,-0.065310536,-0.004916603,0
11,-0.061753529,-0.00735457,0
11.25,-0.057581415,-0.009689409,0
11.5,-0.052812865,-0.011926584,0
11.75,-0.047505135,-0.014071079,0
12,-0.041712276,-0.01612753,0
12.25,-0.035483352,-0.018100261,0
12.5,-0.028862958,-0.019993309,0
12.75,-0.021891672,-0.021810449,0
13,-0.01460646,-0.023555217,0
13.25,-0.007041031,-0.025230925,0
13.5,0.000772006,-0.026840657,0
13.75,0.008773402,-0.0283869,0
14,0.016886095,-0.029871683,0
14.25,0.025040024,-0.031296943,0
14.5,0.033172115,-0.032664538,0
14.75,0.041225603,-0.03397625,0
15,0.049149418,-0.035233793,0
15.25,0.056897642,-0.036438809,0
15.5,0.064429016,-0.037592879,0
15.75,0.071706506,-0.038697519,0
16,0.078696905,-0.039754188,0
16.25,0.085373739,-0.040764216,0
16.5,0.091728764,-0.041728537,0
16.75,0.09775948,-0.042647968,0
17,0.10346408,-0.043523323,0
17.25,0.108841384,-0.044355407,0
17.5,0.113890765,-0.045145017,0
17.75,0.118612098,-0.045892945,0
18,0.123005703,-0.046599967,0
18.25,0.127072297,-0.047266853,0
18.5,0.130812954,-0.04789436,0
18.75,0.134229065,-0.048483234,0
19,0.137322301,-0.049034207,0
19.25,0.140094604,-0.049548003,0
19.5,0.142553,-0.050025371,0
19.75,0.144715578,-0.050467148,0
20,0.146600993,-0.05087416,0
20.25,0.148226832,-0.05124721,0
20.5,0.149609679,-0.051587076,0
20.75,0.150765184,-0.051894517,0
21,0.151708117,-0.052170268,0
21.25,0.152452425,-0.052415044,0
21.5,0.153011281,-0.052629541,0
21.75,0.153397135,-0.052814434,0
22,0.153621752,-0.052970381,0
22.25,0.15369626,-0.053098019,0
22.5,0.153631182,-0.05319797,0
22.75,0.153436475,-0.053270838,0
23,0.153121563,-0.053317212,0
23.25,0.152695354,-0.053337687,0
23.5,0.152166213,-0.05333299,0
23.75,0.151542039,-0.053303868,0
24,0.150830316,-0.053251042,0
24.25,0.150038139,-0.053175207,0
24.5,0.149172229,-0.053077033,0
24.75,0.148238961,-0.052957165,0
25,0.147244378,-0.052816226,0
25.25,0.146194214,-0.052654818,0
25.5,0.145093904,-0.052473519,0
25.75,0.143948606,-0.052272891,0
26,0.142763215,-0.052053473,0
26.25,0.141542372,-0.051815788,0
26.5,0.140290484,-0.051560341,0
26.75,0.139011733,-0.05128762,0
27,0.137710088,-0.050998097,0
27.25,0.136389316,-0.050692227,0
27.5,0.135052993,-0.050370453,0
27.75,0.13370446,-0.050033201,0
28,0.132345912,-0.049680914,0
28.25,0.130978568,-0.049314038,0
28.5,0.129603563,-0.048933008,0
28.75,0.128221973,-0.048538243,0
29,0.126834828,-0.048130148,0
29.25,0.125443106,-0.047709114,0
29.5,0.124047741,-0.04727552,0
29.75,0.122649622,-0.046829733,0
30,0.121249596,-0.046372107,0
30.25,0.11984847,-0.045902984,0
30.5,0.118447015,-0.045422697,0
30.75,0.117045962,-0.044931568,0
31,0.11564601,-0.044429906,0
31.25,0.114247825,-0.043918014,0
31.5,0.11285204,-0.043396184,0
31.75,0.11145926,-0.042864698,0
32,0.110070059,-0.04232383,0
32.25,0.108684985,-0.041773847,0
32.5,0.107304559,-0.041215005,0
32.75,0.105929279,-0.040647554,0
33,0.104559617,-0.040071737,0
33.25,0.103195985,-0.039487789,0
33.5,0.101838102,-0.038895943,0
33.75,0.100485103,-0.03829643,0
34,0.099136143,-0.037689471,0
34.25,0.097790409,-0.037075285,0
34.5,0.096447126,-0.036454081,0
34.75,0.095105549,-0.035826064,0
35,0.093764967,-0.035191432,0
35.25,0.092424697,-0.034550377,0
35.5,0.091084086,-0.033903086,0
35.75,0.089742509,-0.033249739,0
36,0.088399368,-0.032590514,0
36.25,0.087054089,-0.031925581,0
36.5,0.085706124,-0.031255106,0
36.75,0.084354948,-0.030579251,0
37,0.083000059,-0.029898173,0
37.25,0.081640976,-0.029212023,0
37.5,0.080277239,-0.028520951,0
37.75,0.078908408,-0.027825101,0
38,0.077534064,-0.027124612,0
38.25,0.076153802,-0.02641962,0
38.5,0.07476724,-0.025710259,0
38.75,0.07337401,-0.024996657,0
39,0.07197376,-0.02427894,0
39.25,0.070566155,-0.023557229,0
39.5,0.069150874,-0.022831643,0
39.75,0.067727613,-0.022102298,0
40,0.06629601,-0.021369316,0
40.25,0.064855563,-0.02063284,0
40.5,0.063405765,-0.019893012,0
40.75,0.061946131,-0.01914997,0
41,0.060476196,-0.018403848,0
41.25,0.058995517,-0.017654776,0
41.5,0.057503667,-0.016902881,0
41.75,0.056000239,-0.016148285,0
42,0.054484844,-0.015391107,0
42.25,0.052957109,-0.014631464,0
42.5,0.051416678,-0.013869468,0
42.75,0.04986321,-0.013105228,0
