age,M Spline,S Spline,L Spline
3,-0.056942565,0.149455893,0
3.25,-0.054262773,0.138593778,0
3.5,-0.051746703,0.12854384,0
3.75,-0.049393772,0.119199604,0
4,-0.047217613,0.110476538,0
4.25,-0.045284107,0.102312293,0
4.5,-0.043646706,0.094654776,0
4.75,-0.042334031,0.087459385,0
5,-0.0413502,0.080690062,0
5.25,-0.04069062,0.074315006,0
5.5,-0.040346354,0.068305417,0
5.75,-0.040287043,0.062635308,0
6,-0.040465397,0.057281204,0
6.25,-0.04084118,0.05222175,0
6.5,-0.041380921,0.047437478,0
6.75,-0.042055096,0.042910563,0
7,-0.042835353,0.038624578,0
7.25,-0.043697519,0.03456448,0
7.5,-0.044621396,0.030716481,0
7.75,-0.045590069,0.027067926,0
8,-0.046580545,0.023607021,0
8.25,-0.047541628,0.020322364,0
8.5,-0.048423714,0.017203371,0
8.75,-0.049185894,0.014240327,0
9,-0.04979453,0.011424295,0
9.25,-0.05022208,0.008747034,0
9.5,-0.050444675,0.006200837,0
9.75,-0.050434067,0.003777988,0
10,-0.050163799,0.001471157,0
10.25,-0.049612291,-0.000726394,0
10.5,-0.04876212,-0.002820878,0
10.75,-0.047599405,-0.004818033,0
11,-0.046113283,-0.006723165,0
11.25,-0.044295848,-0.008541194,0
11.5,-0.042152399,-0.010276713,0
11.75,-0.039700947,-0.011934022,0
12,-0.036958928,-0.013517123,0
12.25,-0.033942579,-0.015029743,0
12.5,-0.030667035,-0.016475362,0
12.75,-0.027146425,-0.017857228,0
13,-0.02339395,-0.019178381,0
13.25,-0.019421961,-0.020441668,0
13.5,-0.015243034,-0.021649754,0
13.75,-0.010885127,-0.022805096,0
14,-0.006386638,-0.023909971,0
14.25,-0.001782701,-0.024966521,0
14.5,0.002894871,-0.025976769,0
14.75,0.007617271,-0.026942623,0
15,0.012358413,-0.027865889,0
15.25,0.017094676,-0.028748273,0
15.5,0.021804675,-0.029591392,0
15.75,0.026469057,-0.030396777,0
16,0.031070313,-0.031165881,0
16.25,0.035592604,-0.031900013,0
16.5,0.040021563,-0.032600091,0
16.75,0.044344203,-0.033266908,0
17,0.048548818,-0.033901236,0
17.25,0.052624865,-0.034503827,0
17.5,0.056562868,-0.035075414,0
17.75,0.060354319,-0.035616711,0
18,0.063991603,-0.036128414,0
18.25,0.067467915,-0.036611198,0
18.5,0.070777195,-0.037065724,0
18.75,0.073914063,-0.037492632,0
19,0.076873763,-0.037892547,0
19.25,0.079652118,-0.038266077,0
19.5,0.082248345,-0.038613779,0
19.75,0.084668541,-0.038936125,0
20,0.086919473,-0.039233567,0
20.25,0.089007595,-0.039506551,0
20.5,0.090939061,-0.039755517,0
20.75,0.092719741,-0.039980894,0
21,0.094355241,-0.040183109,0
21.25,0.095850915,-0.040362578,0
21.5,0.097211879,-0.040519711,0
21.75,0.098443024,-0.040654911,0
22,0.099549029,-0.040768573,0
22.25,0.100534369,-0.040861085,0
22.5,0.101403331,-0.040932828,0
22.75,0.102160019,-0.040984176,0
23,0.102808364,-0.041015495,0
23.25,0.103352414,-0.041027168,0
23.5,0.103797587,-0.0410197,0
23.75,0.10414958,-0.040993626,0
24,0.104413805,-0.04094946,0
24.25,0.10459541,-0.040887701,0
24.5,0.104699293,-0.040808829,0
24.75,0.104730112,-0.040713307,0
25,0.104692301,-0.040601584,0
25.25,0.10459008,-0.040474093,0
25.5,0.104427469,-0.040331253,0
25.75,0.104208294,-0.040173469,0
26,0.103936201,-0.040001133,0
26.25,0.103614664,-0.039814624,0
26.5,0.103246992,-0.039614309,0
26.75,0.102836341,-0.039400543,0
27,0.102385718,-0.03917367,0
27.25,0.101897992,-0.038934023,0
27.5,0.101375896,-0.038681925,0
27.75,0.10082202,-0.038417691,0
28,0.100238459,-0.038141656,0
28.25,0.099626887,-0.03785417,0
28.5,0.098988891,-0.037555575,0
28.75,0.098325994,-0.037246198,0
29,0.097639652,-0.036926358,0
29.25,0.096931261,-0.036596361,0
29.5,0.096202159,-0.036256505,0
29.75,0.095453625,-0.035907077,0
30,0.094686887,-0.035548354,0
30.25,0.09390312,-0.035180607,0
30.5,0.093103452,-0.034804094,0
30.75,0.092288964,-0.034419069,0
31,0.091460691,-0.034025774,0
31.25,0.090619626,-0.033624447,0
31.5,0.089766723,-0.033215317,0
31.75,0.088902894,-0.032798605,0
32,0.088029015,-0.032374526,0
32.25,0.087145926,-0.03194329,0
32.5,0.086254434,-0.031505096,0
32.75,0.085355312,-0.031060143,0
33,0.084449302,-0.030608619,0
33.25,0.083537089,-0.03015071,0
33.5,0.08261885,-0.029686611,0
33.75,0.081694336,-0.029216521,0
34,0.080763297,-0.028740637,0
34.25,0.079825496,-0.028259148,0
34.5,0.078880711,-0.027772237,0
34.75,0.07792873,-0.027280082,0
35,0.076969355,-0.026782855,0
35.25,0.076002399,-0.026280722,0
35.5,0.075027684,-0.025773845,0
35.75,0.074045046,-0.025262381,0
36,0.073054326,-0.024746482,0
36.25,0.072055379,-0.024226296,0
36.5,0.071048067,-0.023701965,0
36.75,0.070032261,-0.023173628,0
37,0.069007839,-0.022641419,0
37.25,0.067974689,-0.022105471,0
37.5,0.066932706,-0.021565908,0
37.75,0.06588179,-0.021022854,0
38,0.064821851,-0.020476429,0
38.25,0.063752803,-0.019926748,0
38.5,0.062674569,-0.019373924,0
38.75,0.061587075,-0.018818067,0
39,0.060490255,-0.018259282,0
39.25,0.059384048,-0.017697672,0
39.5,0.058268397,-0.017133338,0
39.75,0.057143252,-0.016566378,0
40,0.056008528,-0.015996891,0
40.25,0.054864057,-0.015424992,0
40.5,0.053709668,-0.014850794,0
40.75,0.052545197,-0.014274406,0
41,0.05137049,-0.013695933,0
41.25,0.050185402,-0.013115479,0
41.5,0.048989794,-0.012533143,0
41.75,0.047783539,-0.011949023,0
42,0.046566513,-0.011363211,0
42.25,0.045338602,-0.010775799,0
42.5,0.044099697,-0.010186877,0
42.75,0.042849698,-0.009596528,0
43,0.041588509,-0.009004838,0
43.25,0.040316042,-0.008411887,0
43.5,0.039032214,-0.007817752,0
43.75,0.037736948,-0.007222512,0
44,0.036430171,-0.006626239,0
