age,M Spline,S Spline,L Spline
5,0.140919627,0.211689017,0
5.25,0.141065692,0.210587888,0
5.5,0.141211758,0.209486758,0
5.75,0.141357823,0.208385628,0
6,0.141503886,0.207284497,0
6.25,0.14164971,0.206183192,0
6.5,0.141794607,0.205081216,0
6.75,0.141938264,0.203978359,0
7,0.142080573,0.202874568,0
7.25,0.142221304,0.201769695,0
7.5,0.142360259,0.200663619,0
7.75,0.142497239,0.199556217,0
8,0.14263204,0.198447361,0
8.25,0.14276446,0.197336927,0
8.5,0.142894297,0.196224789,0
8.75,0.143021348,0.195110822,0
9,0.143145413,0.1939949,0
9.25,0.143266314,0.1928769,0
9.5,0.143383571,0.191756684,0
9.75,0.143496394,0.190634099,0
10,0.143603968,0.189508993,0
10.25,0.143705426,0.188381211,0
10.5,0.143799917,0.187250599,0
10.75,0.14388659,0.186117001,0
11,0.143964597,0.184980264,0
11.25,0.144033087,0.183840233,0
11.5,0.144091212,0.182696753,0
11.75,0.144138121,0.181549671,0
12,0.144172964,0.180398832,0
12.25,0.144194893,0.179244081,0
12.5,0.144203058,0.178085265,0
12.75,0.144196609,0.176922228,0
13,0.144174696,0.175754817,0
13.25,0.144136469,0.174582876,0
13.5,0.144080924,0.173406263,0
13.75,0.144006644,0.172224862,0
14,0.143912152,0.171038562,0
14.25,0.143795971,0.169847252,0
14.5,0.14365662,0.168650821,0
14.75,0.143492621,0.167449159,0
15,0.143302497,0.166242153,0
15.25,0.143084767,0.165029694,0
15.5,0.142837954,0.16381167,0
15.75,0.142560579,0.16258797,0
16,0.142251163,0.161358484,0
16.25,0.141908224,0.1601231,0
16.5,0.141530314,0.158881707,0
16.75,0.141115966,0.157634195,0
17,0.14066352,0.156380453,0
17.25,0.140171457,0.15512037,0
17.5,0.1396389,0.153853834,0
17.75,0.139065132,0.152580732,0
18,0.138449435,0.151300953,0
18.25,0.13779123,0.150014383,0
18.5,0.137090154,0.148720909,0
18.75,0.136345699,0.14742042,0
19,0.13555735,0.146112804,0
19.25,0.134724603,0.144797947,0
19.5,0.133846989,0.143475737,0
19.75,0.132924051,0.142146056,0
20,0.131955331,0.140808791,0
20.25,0.130940341,0.139463827,0
20.5,0.129878478,0.13811106,0
20.75,0.128769107,0.136750385,0
21,0.127611596,0.135381699,0
21.25,0.12640551,0.134004885,0
21.5,0.125151216,0.132619773,0
21.75,0.123849278,0.131226179,0
22,0.122500264,0.129823919,0
22.25,0.121104873,0.1284128,0
22.5,0.119664312,0.126992596,0
22.75,0.118179645,0.125563088,0
23,0.116651811,0.124124069,0
